business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
V Prints Vinayaka Wedding Cards Wholesale,Wedding Invitation Card Printer,Invitation printing service,Invitation printing service,383120,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Salal SO, Dalpur BO, Hajipur BO",+91 79012 39087,http://vprintstore.com/,4.8,25.0,"1-2-247, Prakasam Rd, opp. SP Office, beside Tiruapti Books Depot, Balaji Colony, Tirupati, Andhra Pradesh 517501",Balaji Colony,13.630728999999999,79.4128082,ChIJR0VCd8VLTToRfiEkm4AlMJs,https://www.google.com/maps/place/?q=place_id:ChIJR0VCd8VLTToRfiEkm4AlMJs,part_103,2026-09-20 16:51:10,44134
Vrinda1 Printing Press,Wedding Invitation Card Printer,Print shop,Print shop,383205,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Prantij SO, Balisana BO, Bobha BO",+91 81400 65755,N/A,5.0,,"Shreenath complex, Parsavnath Society, Vijapur, Gujarat 382870",Parsavnath Society,23.5635855,72.74474479999999,ChIJm1fXtKy1XTkR9CRA6q-51r8,https://www.google.com/maps/place/?q=place_id:ChIJm1fXtKy1XTkR9CRA6q-51r8,part_103,2026-09-20 16:51:42,45007
"Real Wedding Cards - Wedding Cards, Kankotri, Wedding Cards in Bardoli",Wedding Invitation Card Printer,Print shop,Print shop,383235,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Vadali SO Sabarkantha, Asai BO, Babsar BO",+91 98989 03601,http://www.realweddingcards.com/,4.9,,"City Center, 101, Sardar Patel Marg, nr. Millenium Mall, Shantisadan, Nityanand Society, Bardoli, Gujarat 394601","Shantisadan, Nityanand Society",21.1259083,73.1084783,ChIJu4y-UGtn4DsRx9mQkpn87FI,https://www.google.com/maps/place/?q=place_id:ChIJu4y-UGtn4DsRx9mQkpn87FI,part_103,2026-09-20 16:55:05,49181
Shubh Cards and Kankotri,Wedding Invitation Card Printer,Invitation printing service,Invitation printing service,383235,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Vadali SO Sabarkantha, Asai BO, Babsar BO",+91 98246 39639,https://shubh-card.vercel.app/,4.9,,"Ground Floor, Shop no. 13, Rudra Plaza, Sanala Rd, below Naklank Hospital, Sardar Nagar, Morbi, Gujarat 363641",Sardar Nagar,22.8124097,70.8281471,ChIJXeGcuk2NWTkR0zN1b4POHlE,https://www.google.com/maps/place/?q=place_id:ChIJXeGcuk2NWTkR0zN1b4POHlE,part_103,2026-09-20 16:55:05,49182
Shubh Cards - Wholesaler of Wedding Cards in Rajkot,Wedding Invitation Card Printer,Invitation printing service,"Invitation printing service, Bag shop, Wedding service",383235,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Vadali SO Sabarkantha, Asai BO, Babsar BO",+91 281 246 2220,N/A,4.5,,"5, Bhaktinagar Station Plot, Bhakti Nagar, Rajkot, Gujarat 360002","Bhaktinagar Station Plot, Bhakti Nagar",22.2834455,70.7972298,ChIJ4Y68TBLKWTkRzROsYjr7Eu8,https://www.google.com/maps/place/?q=place_id:ChIJ4Y68TBLKWTkRzROsYjr7Eu8,part_103,2026-09-20 16:55:05,49183
veepul creative hub,Wedding Invitation Card Printer,Invitation printing service,"Invitation printing service, Print shop, Offset Printer, Screen printer",383235,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Vadali SO Sabarkantha, Asai BO, Babsar BO",+91 76000 74421,N/A,5.0,,"Abu highway, near Sbi bank, opp. bank of baroda, Sardar Patel Nagar, Palanpur, Gujarat 385001",Sardar Patel Nagar,24.1781641,72.41837439999999,ChIJDXA_b77pXDkRGHlZ0Q2chqg,https://www.google.com/maps/place/?q=place_id:ChIJDXA_b77pXDkRGHlZ0Q2chqg,part_103,2026-09-20 16:55:05,49184
Variety Card Center,Wedding Invitation Card Printer,Invitation printing service,"Invitation printing service, Graphic designer, Print shop",383235,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Vadali SO Sabarkantha, Asai BO, Babsar BO",+91 98795 20460,http://varietycardbardoli.com/,4.6,,"Near Harsh Hospital, Surati, Jakatnaka, Bardoli, Gujarat 394601",Swaraj Ashram,21.1163804,73.1099247,ChIJh4MseHJn4DsRFZn6sKyZ1qI,https://www.google.com/maps/place/?q=place_id:ChIJh4MseHJn4DsRFZn6sKyZ1qI,part_103,2026-09-20 16:55:05,49185
Ajanta Card Centre,Wedding Invitation Card Printer,Wedding store,"Wedding store, Shopping mall",383235,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Vadali SO Sabarkantha, Asai BO, Babsar BO",+91 98244 12100,N/A,4.9,,"1st floor, Panchvati Complex, Near Bharat petrol pump, Milan cinema, road, Surendranagar, Gujarat 363001",Ambedkarnagar,22.724627899999998,71.6378412,ChIJRcTI1oRBWTkRwNs2R_ku9h4,https://www.google.com/maps/place/?q=place_id:ChIJRcTI1oRBWTkRwNs2R_ku9h4,part_103,2026-09-20 16:55:05,49186
Jay Art Wedding Cards,Wedding Invitation Card Printer,Print shop,Print shop,383235,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Vadali SO Sabarkantha, Asai BO, Babsar BO",+91 93776 07972,https://www.jayartweddingcards.com/,4.8,,"10/716-17, Kanaiya Desai Rd, Hawadiya Chakla, Kanaiyalal, Surat, Gujarat 395003","Hawadiya Chakla, Kanaiyalal",21.1955776,72.8263468,ChIJkbMmRv9P4DsRdm3QDWrjXDg,https://www.google.com/maps/place/?q=place_id:ChIJkbMmRv9P4DsRdm3QDWrjXDg,part_103,2026-09-20 16:55:05,49187
Shrisava Design & Advertising – Complete Outdoor & Digital Marketing Solutions in Godhra,Wedding Invitation Card Printer,Invitation printing service,"Invitation printing service, Greeting card shop, Graphic designer, Marketing agency, Print shop, Screen printer, Trading card store, Website designer, Wedding store, Wedding venue",383235,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Vadali SO Sabarkantha, Asai BO, Babsar BO",+91 99799 90011,N/A,4.9,,"F/9, Ankleshwar Mahadev Road, Godhra, Gujarat 389001",Anandnagar,22.7774322,73.62309119999999,ChIJ122a5YWbYDkRSzQWrW1WEyw,https://www.google.com/maps/place/?q=place_id:ChIJ122a5YWbYDkRSzQWrW1WEyw,part_103,2026-09-20 16:55:05,49188
Geeta Cards,Wedding Invitation Card Printer,Invitation printing service,"Invitation printing service, Wedding store",383235,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Vadali SO Sabarkantha, Asai BO, Babsar BO",+91 95102 30998,N/A,4.8,,"Sai villa complex, 1, Mahajan Ln, Raopura, Mandvi, Vadodara, Gujarat 390001","Raopura, Mandvi",22.3032939,73.202302,ChIJt7OkBV_PXzkRmyCYhFQ7FyU,https://www.google.com/maps/place/?q=place_id:ChIJt7OkBV_PXzkRmyCYhFQ7FyU,part_103,2026-09-20 16:55:05,49189
"RUCHI CARD GALLERY - Wedding Invitation Cards, Customized Cards & Printing",Wedding Invitation Card Printer,Invitation printing service,Invitation printing service,383235,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Vadali SO Sabarkantha, Asai BO, Babsar BO",+91 98867 28621,http://ruchicardgallery.in/,4.0,,"Ruchi Card Gallery.41, KV Temple Street Cross, Circle, Sultanpete, Bengaluru, Karnataka 560053","Santhusapet, Sultanpete",12.9694963,77.5731406,ChIJa6OON1wXrjsRE_yCmB_SDCo,https://www.google.com/maps/place/?q=place_id:ChIJa6OON1wXrjsRE_yCmB_SDCo,part_103,2026-09-20 16:55:06,49190
